"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Export The Image as JPEG Format","24473","test_export_JPEG_imageFile","tests","Sun Oct 27 04:20:31 UTC 2024","broken","Sun Oct 27 04:20:56 UTC 2024","TestImageComparisonExportAs","Image Comparison Test with Preview App by EXPORT Method","",""
"Test to open the Preview application.","2021","test_open_preview_application","tests","Sun Oct 27 04:20:09 UTC 2024","passed","Sun Oct 27 04:20:11 UTC 2024","TestImageComparisonExportAs","Image Comparison Test with Preview App by EXPORT Method","",""
"Test comparing IMAGE_1.jpg and IMAGE_2.png","1","test_compare_images","tests","Sun Oct 27 04:20:56 UTC 2024","failed","Sun Oct 27 04:20:56 UTC 2024","TestImageComparisonExportAs","Image Comparison Test with Preview App by EXPORT Method","",""
"Navigate to Directory and Open the Image","20604","test_select_image","tests","Sun Oct 27 04:20:11 UTC 2024","passed","Sun Oct 27 04:20:31 UTC 2024","TestImageComparisonExportAs","Image Comparison Test with Preview App by EXPORT Method","",""
"Save the opened image as a reference image.","9277","test_save_as_reference_imageFile","tests","Sun Oct 27 04:19:59 UTC 2024","broken","Sun Oct 27 04:20:09 UTC 2024","TestImageComparisonSaveAs","Image Comparison Test with Preview App by SAVE AS Method","",""
"Test to open the Preview application.","2129","test_open_preview_application","tests","Sun Oct 27 04:19:36 UTC 2024","passed","Sun Oct 27 04:19:38 UTC 2024","TestImageComparisonSaveAs","Image Comparison Test with Preview App by SAVE AS Method","",""
"Test comparing IMAGE_1 and REF_Image.","42","test_compare_images","tests","Sun Oct 27 04:20:09 UTC 2024","failed","Sun Oct 27 04:20:09 UTC 2024","TestImageComparisonSaveAs","Image Comparison Test with Preview App by SAVE AS Method","",""
"Navigate to Directory and Open the Image","21004","test_select_image","tests","Sun Oct 27 04:19:38 UTC 2024","passed","Sun Oct 27 04:19:59 UTC 2024","TestImageComparisonSaveAs","Image Comparison Test with Preview App by SAVE AS Method","",""
